Make,Model,Model Name,Model Years
Audi,A3 2014-19,A3,2014-19
Audi,A3 Sportback e-tron 2017-18,A3,2017-18
Audi,Q2 2018,Q2,2018
Audi,Q3 2019-23,Q3,2019-23
Audi,RS3 2018,RS3,2018
Audi,S3 2015-17,S3,2015-17
Chrysler,Pacifica 2017-18,Pacifica ,2017-18
Chrysler,Pacifica 2019-20,Pacifica ,2019-20
Chrysler,Pacifica 2021,Pacifica ,2021
Chrysler,Pacifica Hybrid 2017-18,Pacifica Hybrid ,2017-18
Chrysler,Pacifica Hybrid 2019-23,Pacifica Hybrid ,2019-23
Ford,Bronco Sport 2021-22,Bronco Sport ,2021-22
Ford,Escape 2020-22,Escape ,2020-22
Ford,Explorer 2020-22,Explorer ,2020-22
Ford,Focus 2018[<sup>3</sup>](#footnotes),Focus ,2018
Ford,Kuga 2020-22,Kuga ,2020-22
Ford,Maverick 2022,Maverick ,2022
Ford,Maverick 2023,Maverick ,2023
Genesis,G70 2018-19,G70,2018-19
Genesis,G70 2020,G70,2020
Genesis,G80 2017,G80,2017
Genesis,G80 2018-19,G80,2018-19
Genesis,G90 2017-18,G90,2017-18
Genesis,GV60 (Advanced Trim) 2023[<sup>6</sup>](#footnotes),GV60,2023
Genesis,GV60 (Performance Trim) 2023[<sup>6</sup>](#footnotes),GV60,2023
Genesis,GV70 (2.5T Trim) 2022-23[<sup>6</sup>](#footnotes),GV70,2022-23
Genesis,GV70 (3.5T Trim) 2022-23[<sup>6</sup>](#footnotes),GV70,2022-23
Genesis,GV80 2023[<sup>6</sup>](#footnotes),GV80,2023
Honda,Civic 2022-23,Civic ,2022-23
Honda,Civic Hatchback 2022-23,Civic Hatchback ,2022-23
Honda,HR-V 2023,HR-V ,2023
Hyundai,Azera 2022,Azera ,2022
Hyundai,Azera Hybrid 2019,Azera Hybrid ,2019
Hyundai,Azera Hybrid 2020,Azera Hybrid ,2020
Hyundai,Custin 2023,Custin ,2023
Hyundai,Elantra 2017-18,Elantra ,2017-18
Hyundai,Elantra 2019,Elantra ,2019
Hyundai,Elantra 2021-23,Elantra ,2021-23
Hyundai,Elantra GT 2017-19,Elantra GT ,2017-19
Hyundai,Elantra Hybrid 2021-23,Elantra Hybrid ,2021-23
Hyundai,Genesis 2015-16,Genesis ,2015-16
Hyundai,i30 2017-19,i30,2017-19
Hyundai,Ioniq 5 (with HDA II) 2022-23[<sup>6</sup>](#footnotes),Ioniq 5,2022-23
Hyundai,Ioniq 5 (without HDA II) 2022-23[<sup>6</sup>](#footnotes),Ioniq 5,2022-23
Hyundai,Ioniq 6 (with HDA II) 2023[<sup>6</sup>](#footnotes),Ionitq 6,2023
Hyundai,Ioniq Electric 2019,Ioniq Electric ,2019
Hyundai,Ioniq Electric 2020,Ioniq Electric ,2020
Hyundai,Ioniq Hybrid 2017-19,Ioniq Hybrid ,2017-19
Hyundai,Ioniq Hybrid 2020-22,Ioniq Hybrid ,2020-22
Hyundai,Ioniq Plug-in Hybrid 2019,Ioniq Plug-in Hybrid ,2019
Hyundai,Ioniq Plug-in Hybrid 2020-22,Ioniq Plug-in Hybrid ,2020-22
Hyundai,Kona 2020,Kona ,2020
Hyundai,Kona Electric 2018-21,Kona Electric ,2018-21
Hyundai,Kona Electric 2022-23,Kona Electric ,2022-23
Hyundai,Kona Hybrid 2020,Kona Hybrid ,2020
Hyundai,Palisade 2020-22,Palisade ,2020-22
Hyundai,Santa Cruz 2022-23[<sup>6</sup>](#footnotes),Santa Cruz ,2022-23
Hyundai,Santa Fe 2019-20,Santa Fe ,2019-20
Hyundai,Santa Fe 2021-23,Santa Fe ,2021-23
Hyundai,Santa Fe Hybrid 2022-23,Santa Fe Hybrid ,2022-23
Hyundai,Santa Fe Plug-in Hybrid 2022-23,Santa Fe Plug-in Hybrid ,2022-23
Hyundai,Sonata 2018-19,Sonata ,2018-19
Hyundai,Sonata 2020-23,Sonata ,2020-23
Hyundai,Sonata Hybrid 2020-23,Sonata Hybrid ,2020-23
Hyundai,Tucson 2021,Tucson ,2021
Hyundai,Tucson 2022[<sup>6</sup>](#footnotes),Tucson ,2022
Hyundai,Tucson 2023[<sup>6</sup>](#footnotes),Tucson ,2023
Hyundai,Tucson Diesel 2019,Tucson Diesel ,2019
Hyundai,Tucson Hybrid 2022-24[<sup>6</sup>](#footnotes),Tucson Hybrid ,2022-24
Hyundai,Veloster 2019-20,Veloster ,2019-20
Jeep,Grand Cherokee 2016-18,Grand Cherokee ,2016-18
Jeep,Grand Cherokee 2019-21,Grand Cherokee ,2019-21
Kia,Carnival 2023-24[<sup>6</sup>](#footnotes),Carnival ,2023-24
Kia,Ceed 2019,Ceed ,2019
Kia,EV6 (with HDA II) 2022-23[<sup>6</sup>](#footnotes),EV6,2022-23
Kia,EV6 (without HDA II) 2022-23[<sup>6</sup>](#footnotes),EV6,2022-23
Kia,Forte 2019-21,Forte ,2019-21
Kia,Forte 2023,Forte ,2023
Kia,K5 2021-24,K5,2021-24
Kia,K5 Hybrid 2020-22,K5,2020-22
Kia,K8 Hybrid (with HDA II) 2023[<sup>6</sup>](#footnotes),K8 Hybrid,2023
Kia,Niro EV 2019,Niro EV ,2019
Kia,Niro EV 2020,Niro EV ,2020
Kia,Niro EV 2021,Niro EV ,2021
